"ZaporednaStevilkaPN"	"DatumPN"	"VNaselju"	"VremenskeOkoliscine"	"Starost"	"Spol"	"VrednostAlkotesta"
8436	2020-07-31 22:00:00	"DA"	"JASNO"	19	"MOŠKI"	0
5788	2020-06-08 11:00:00	"DA"	"DEŽEVNO"	18	"ŽENSKI"	0
3253	2020-03-13 15:00:00	"DA"	"DEŽEVNO"	36	"ŽENSKI"	0
6655	2020-06-29 19:00:00	"NE"	"DEŽEVNO"	20	"MOŠKI"	0
4809	2020-05-16 17:00:00	"DA"	"JASNO"	78	"ŽENSKI"	0
3423	2020-03-20 19:00:00	"DA"	"JASNO"	25	"MOŠKI"	0
3747	2020-04-06 18:00:00	"NE"	"JASNO"	50	"MOŠKI"	0,74
8793	2020-08-10 15:00:00	"NE"	"JASNO"	45	"ŽENSKI"	0
6681	2020-06-29 19:00:00	"DA"	"DEŽEVNO"	33	"MOŠKI"	0,94
7678	2020-07-19 20:00:00	"DA"	"JASNO"	25	"ŽENSKI"	0
2904	2020-03-05 11:00:00	"NE"	"OBLAÈNO"	77	"MOŠKI"	0
478	2020-01-14 18:00:00	"NE"	"JASNO"	25	"ŽENSKI"	0
9849	2020-08-31 14:00:00	"NE"	"DEŽEVNO"	26	"MOŠKI"	0
1532	2020-01-23 08:00:00	"DA"	"OBLAÈNO"	48	"MOŠKI"	0
3272	2020-03-16 12:00:00	"NE"	"JASNO"	23	"ŽENSKI"	1,04
4000	2020-03-28 17:00:00	"NE"	"JASNO"	39	"ŽENSKI"	0
1086	2020-01-27 12:00:00	"DA"	"JASNO"	36	"MOŠKI"	0
987	2020-01-21 19:00:00	"DA"	"OBLAÈNO"	19	"MOŠKI"	0
2584	2020-02-29 13:00:00	"NE"	"JASNO"	29	"MOŠKI"	0
6196	2020-05-27 08:00:00	"DA"	"JASNO"	61	"MOŠKI"	0
7282	2020-07-10 08:00:00	"DA"	"NEZNANO"	35	"ŽENSKI"	0
8340	2020-07-24 13:00:00	"DA"	"JASNO"	74	"MOŠKI"	0
7446	2020-05-16 19:00:00	"DA"	"DEŽEVNO"	28	"ŽENSKI"	0
414	2020-01-07 20:00:00	"DA"	"OBLAÈNO"	48	"MOŠKI"	0
3004	2020-03-06 19:00:00	"NE"	"OBLAÈNO"	55	"ŽENSKI"	0
4359	2020-05-02 08:00:00	"NE"	"JASNO"	76	"MOŠKI"	0
9124	2020-08-08 10:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
8875	2020-08-11 14:00:00	"DA"	"DEŽEVNO"	37	"ŽENSKI"	0
2591	2020-02-28 12:00:00	"NE"	"OBLAÈNO"	35	"MOŠKI"	0
1059	2020-01-26 01:00:00	"DA"	"MEGLA"	30	"MOŠKI"	0
